Metadata_Source,Metadata_Microscope_Name,Metadata_Widefield_vs_Confocal,Metadata_Excitation_Type,Metadata_Objective_NA,Metadata_N_Brightfield_Planes_Min,Metadata_N_Brightfield_Planes_Max,Metadata_Distance_Between_Z_Microns,Metadata_Sites_Per_Well,Metadata_Filter_Configuration
source_1,Opera Phenix,Widefield,Laser,1,1,1,,4,H
source_2,CV8000,Confocal,Laser,1,3,3,8,6,A
source_3,Opera Phenix,Widefield,Laser,1,0,3,5,9,B
source_4,Opera Phenix,Widefield,Laser,1,3,3,5,9,B
source_5,CV8000,Confocal,Laser,0.75,3,3,5,9,C
source_6,CV8000,Confocal,Laser,0.75,3,3,5,9,A
source_7,CV7000,Confocal,Laser,0.75,0,0,,9,D
source_8,ImageXpress Micro Confocal,Confocal,LED,0.75,0,0,3,9,E
source_9,Opera Phenix,Widefield,Laser,0.8,0,0,,4,H
source_10,CV8000,Confocal,Laser,0.75,3,3,5,6,A
source_11,Operetta,Widefield,LED,1,1,1,,9,F
source_13,CV7000,Confocal,Laser,0.75,0,0,,9,D
source_15,Opera Phenix,Widefield,Laser,0.4,3,3,5,9,G
